Month,Day,Year,Day,Time,AM/PM,Show Name,Title,Season,Episode,Rating,New?,Description
,,,,,,,,,,,,
5,15,2018,Tuesday,12:03,AM ,American Pickers,Ready to Race,19,5,PG,N,The guys are stoked to visit a former racer and adrenaline junkie in his vintage Ohio garage.
5,15,2018,Tuesday,1:03,AM ,American Pickers,Space Ranger,19,6,PG,N,The guys head to Minnesota on a rescue mission to help save the remains of a carnival business from Mother Nature.
5,15,2018,Tuesday,2:06,AM ,Pawn Stars,The Pistol Is Mightier Than the Sword,15,28,PG,N,"Rick takes a stab at a sword with an attached pistol from the 1700s. Will he hit the bullseye or shoot himself in the foot? A portrait of legendary film and theater actor John Barrymore takes center stage, but will it perform well with Rick and Chum? Later, Rick is pointed to an antique navigational timepiece used by ships in the 19th century. Is he destined to buy it, or will he lose his way? Corey gets revved up over a 1969 Harley motorbike, but will he tire of it too soon?"
5,15,2018,Tuesday,2:07,AM ,777,777,777,777,777,777,777
5,15,2018,Tuesday,2:35,AM ,Pawn Stars: Pumped Up,Royally Pawned,2,27,PG,Y,"A set of royal British armor has Rick suiting up to strike a bargain. Chumlee's purchase of a U.S. Open custom electric guitar gets no love from Rick. Will Chum be able to net a profit before Rick reaches his break point? Signatures and a movie script from famed comedy duo Abbott & Costello inspire Corey and Chum to reenact a hilarious scene from the film, but the amount of money this seller is asking for is no laughing matter. A seller with an antique coin-operated scale throws his weight around during negotiations. Can Rick get him to lighten up enough to make a deal?"
5,15,2018,Tuesday,2:36,AM ,777,777,777,777,777,777,777
5,15,2018,Tuesday,3:04,AM ,Pawn Stars,"Here's Looking at You, Pawn!",15,27,PG,N,"This episode of Pawn Stars takes flight with a 1911 first edition novel of Peter Pan, but would Rick rather spend his Shenan-doah on a piece of scrap metal from an infamous fallen airship? Also, a seller tries to sweep Rick off of his feet with an ancient kneeling Thepanom statue. And later, everybody comes to Rick's, but it's up to Corey if a ""Casablanca"" movie poster is worth the six figures it would take to watch a deal take place."
5,15,2018,Tuesday,3:05,AM ,777,777,777,777,777,777,777
5,15,2018,Tuesday,3:33,AM ,Pawn Stars,Declaration of Dopeness,14,16,PG,N,"Brew up a hot cup of joe with the Pawn Stars when a Civil War era carbine shows up with a ""coffee grinder"" in the shoulder stock. Will Rick bite the bullet and make a sale, or misfire on making a deal? Later, a vintage skateboard deck shows up in the shop. Will Chum skate off into the sunset or lose his footing and land flat on a no sale?"
5,15,2018,Tuesday,3:34,AM ,777,777,777,777,777,777,777
5,15,2018,Tuesday,4:02,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,4:30,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,5:00,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,5:30,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,6:00,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,6:30,AM ,888,888,888,888,888,888,888
5,15,2018,Tuesday,7:00,AM ,Battle 360,Call to Duty,1,1,PG,N,"Aircraft Carrier USS Enterprise, destined to become the most decorated ship of World War ll, was the only carrier to be front and center in every major sea battle in the Pacific. The Enterprise and her crew engaged in some of the fiercest battles ever seen, marked by intense firepower, instinct and a 360-coordination between the carrier, the destroyers, the aircraft above and the submarines below. Follow the Enterprise and its men from the start of the war through to the last battle."
5,15,2018,Tuesday,8:00,AM ,Ancient Top 10,Rome's Greatest Hits,1,6,14,N,"Rome. This incredible civilization forged the world as we know it, creating some of the most technologically advanced engineering of antiquity that is still in use today. Such ingenious inventions include: super powered concrete, aqueducts stretching for miles, and sophisticated mining techniques that were years ahead of their time. Which Top 10 feat of Roman engineering will prove to be the biggest breakthrough?"
5,15,2018,Tuesday,9:00,AM ,Ancient Top 10,Ancient Ships,1,9,14,N,"The ancient world is home to some of the most sophisticated and advanced ships the world has ever seen. The designs and construction of these monsters of the oceans appear impossible, but still, these ships sailed the seven seas thousands of years ago! The deadly triremes that helped create the golden age of Athens; the forty, an ancient ship that was the size of a modern day aircraft carrier; the Viking longboat which made the raiders so successful and the infamous pleasure boats of emperor Caligula. These cruisers were centuries ahead of their time, but which of these Top 10 ancient ships was the most advanced?"
5,15,2018,Tuesday,10:00,AM ,Ancient Top 10,Ancient Greek Tech,1,3,14,N,"The ancient Greeks are credited in the western world for inventing philosophy, democracy, and...robotics? Pioneering technological inventors, the ancient Greeks created inventions that were seemingly impossible: an ancient death ray constructed by Archimedes, Heron's automatic doors, Philon's ingenious use of robotics. Which of these Top 10 ancient Greek technologies will prove to be the most advanced? "
5,15,2018,Tuesday,11:00,AM ,Ancient Top 10,Ancient Mysteries,1,4,14,N,"Think you know the ancient world? Think again. To this day, there are still mysteries surrounding the ancients that have us questioning what we know about these incredible civilizations. Secrets that demonstrate incredible technology comparable to our own: an ancient computer, models that demonstrate flight, stones weighing hundreds of tons seamlessly transported. All incredible enigmas, but which of these Top 10 ancient mysteries tells us the most about the ancient world we think we know?"
5,15,2018,Tuesday,12:00,PM,Ancient Top 10,Greatest Ancient Monuments,1,9,14,N,"The greatest monuments of the ancient world show more than wealth, they show power. An adversary not to be messed with. From the secrets of Stonehenge to one of the Seven Wonders of the World, the Colossus of Rhodes; the home of ancient spectacle, the great Colosseum to the jaw dropping temple of Karnak. Which of these Top 10 archaeological sites will be crowned the most jaw-dropping monument of the ancient world? "
5,15,2018,Tuesday,1:00,PM,Ancient Top 10,Most Lethal Weapons,1,1,14,N,"Throughout human history, mankind has strived to create new and inventive ways of killing. Countries conquered and empires shattered on the backs of the most lethal weapons of the ancient world. From the ancient napalm, Greek Fire, to the weapon that helped the Mongols create the largest ancient empire, the composite bow; the speedy battlefield chariot which changed battle tactics, to the simple yet effective caltrop still in use by militaries today, which Top 10 deadly weapon will blow apart the competition and claim the spot of most game-changing? "
5,15,2018,Tuesday,2:00,PM,Forged in Fire,Viking Edition,4,23,PG,N,"Four brave competitors march into a dry moat where they must resurrect old swords and forge them into a Viking Seax, using the time-tested coal forge. With hammers in full swing and multiple obstacles in their path, the smiths exhaust every ounce of their strength to produce weapons fit to withstand any test imaginable. In the final challenge, the remaining two smiths voyage home to recreate a pair of deadly Viking War Axes in their final fight for the coveted title of Forged In Fire champion."
5,15,2018,Tuesday,3:00,PM,Forged in Fire,Butterfly Swords,3,3,PG,N,"Four new contestants must choose wisely as they try to craft a blade of their signature style from a pile of tools, both old and new. Then the stakes are doubled when, for the first time ever, they must forge not one, but two swords in the final round. Crafting Chinese Butterfly Swords, our final two bladesmiths face twice the work, and twice the pressure, in their attempt to claim the title of Forged in Fire champion."
5,15,2018,Tuesday,4:00,PM,Forged in Fire,Xiphos Sword,3,8,PG,N,"When a group of new bladesmiths enters the forge, they're met with a challenge they never saw coming. They must harvest the steel for their blade from an imposing piece of construction equipment, which proves to be a bigger task than they anticipate. After an intense round of testing and another elimination, the two remaining smiths face off to recreate a classic Greek sword used in close quarters combat. With a $10,000 prize on the line, both smiths turn out impressive blades for a final round of testing, but the judges will choose only one to be crowned Forged in Fire Champion. "
5,15,2018,Tuesday,5:00,PM,Forged in Fire,The Kampilan,4,16,PG,N,"Four bladesmiths head to a scrapyard to create their signature blade using only harvested metal and a coal forge. Challenges arise when some struggle to keep their fires burning, and ultimately two competitors are left standing. In the final round, the smiths must recreate a fearsome battle weapon, the Kampilan. Their weapons must survive brutal testing, and only one will pull through by a hair to claim the title of Forged in Fire Champion."
5,15,2018,Tuesday,6:00,PM,Forged in Fire,Knights Templar,4,22,PG,N,"Four brave smiths are thrown for a loop when they must forge together rusty chain mail and high quality steel to produce Knights Templar Crusader Daggers in Round 1. The competitors must strategically battle their greatest enemy- the ticking clock- to ensure these double-edged medieval blades are fit to withstand brutal testing. Two smiths survive elimination and are sent back to their home forges on a five day quest to recreate the iconic Knights Templar Crusader Sword. After a punishing round of tests, only one contender slays the competition and is knighted the next Forged in Fire Champion."
5,15,2018,Tuesday,7:00,PM,Forged in Fire,Ngombe Ngulu,4,12,PG,N,"Four blade smiths enter the forge and are given the twisted challenge of having to forge blades from a giant elevator cable. Which smiths will unravel after two challenges and a brutal round of testing? Only two will return home to recreate the African Ngombe Ngulu, known as the executions sword. In the final round the smiths are neck and neck in the testing. Who will keep their head and be crowned the Forged in Fire Champion and the winner of 10,000 dollars?"
5,15,2018,Tuesday,8:00,PM,Forged in Fire: Cutting Deeper,The Navaja,2,60,PG,Y,"Four bladesmiths test their mettle in a rock quarry, where they're tasked with making blades using only harvested steel and coal forges. Over the course of two intense rounds, the smiths show their true grit constructing a blade while fighting the elements. After brutal tests designed to chip away at the competitors' resolve, only two smiths advance to the final round. Back at their home forges, they must recreate one of the most dangerous folding weapons in history -- the Spanish Navaja. Which smith will fold under the pressure, and which will cement his legacy as the Forged in Fire Champion?"
5,15,2018,Tuesday,9:00,PM,Forged in Fire,The German Halberd,5,10,PG,Y,"The pressure is on as the Smiths are tasked with forging Dave Baker's favorite blade, the Scottish Dirk. Can they master the difficult design of this weapon, and live up to the high expectations of their expert judge? With a sharp edge over the competition, two smiths head home for the final round to recreate the German Halberd, a medieval era triple threat. Which smith will stake their claim as Forged In Fire Champion and hook in the $10,000 prize?"
5,15,2018,Tuesday,10:03,PM,Forged in Fire: Knife or Death,The Kukri Monster,1,5,PG,Y,"America's top blade smiths, martial artists, and even a stuntman bring their hand-made, historical weapons to chop, slice, and stab through taxing challenges that test their skills and blades. Can one competitor show that his antique Barong was made to last? Will a Kukri/Bowie hybrid prove that two blade styles are better than one? Will the season's youngest bladesmith surprise or get cut down? The final two competitors will face off on the dreaded final course -- ""Dead Run."" Only one moves on to the grand finale for the chance to win $20,000 and be crowned Knife or Death Champion."
5,15,2018,Tuesday,11:03,PM,Forged in Fire: Knife or Death,All the Barong Moves,1,2,PG,N,"Bladesmiths, martial arts experts, and even a butcher must use their custom made, historical weapons to slice, stab, and chop their way through a series of punishing challenges built to test weapons and competitors alike. Can an elite knife thrower hold onto his Nepalese Kukri and out wield his competition? Will the course overwhelm a 100-year-old Barong? Or will the hand-forged Falcata come out on top? The top two competitors will advance to face the ultimate final course -- ""Dead Run."" Only one will have a chance to win the $20,000 grand prize and be crowned Knife or Death Champion."
5,16,2018,Wednesday,12:03,AM ,Forged in Fire: Cutting Deeper,The Navaja,2,60,PG,Y,"Four bladesmiths test their mettle in a rock quarry, where they're tasked with making blades using only harvested steel and coal forges. Over the course of two intense rounds, the smiths show their true grit constructing a blade while fighting the elements. After brutal tests designed to chip away at the competitors' resolve, only two smiths advance to the final round. Back at their home forges, they must recreate one of the most dangerous folding weapons in history -- the Spanish Navaja. Which smith will fold under the pressure, and which will cement his legacy as the Forged in Fire Champion?"
5,16,2018,Wednesday,1:03,AM ,Forged in Fire,The German Halberd,5,10,PG,Y,"The pressure is on as the Smiths are tasked with forging Dave Baker's favorite blade, the Scottish Dirk. Can they master the difficult design of this weapon, and live up to the high expectations of their expert judge? With a sharp edge over the competition, two smiths head home for the final round to recreate the German Halberd, a medieval era triple threat. Which smith will stake their claim as Forged In Fire Champion and hook in the $10,000 prize?"
5,16,2018,Wednesday,2:06,AM ,Forged in Fire: Knife or Death,The Kukri Monster,1,5,PG,Y,"America's top blade smiths, martial artists, and even a stuntman bring their hand-made, historical weapons to chop, slice, and stab through taxing challenges that test their skills and blades. Can one competitor show that his antique Barong was made to last? Will a Kukri/Bowie hybrid prove that two blade styles are better than one? Will the season's youngest bladesmith surprise or get cut down? The final two competitors will face off on the dreaded final course -- ""Dead Run."" Only one moves on to the grand finale for the chance to win $20,000 and be crowned Knife or Death Champion."
5,16,2018,Wednesday,3:04,AM ,Forged in Fire: Knife or Death,All the Barong Moves,1,2,PG,N,"Bladesmiths, martial arts experts, and even a butcher must use their custom made, historical weapons to slice, stab, and chop their way through a series of punishing challenges built to test weapons and competitors alike. Can an elite knife thrower hold onto his Nepalese Kukri and out wield his competition? Will the course overwhelm a 100-year-old Barong? Or will the hand-forged Falcata come out on top? The top two competitors will advance to face the ultimate final course -- ""Dead Run."" Only one will have a chance to win the $20,000 grand prize and be crowned Knife or Death Champion."
5,16,2018,Wednesday,4:02,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,4:30,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,5:00,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,5:30,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,6:00,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,6:30,AM ,888,888,888,888,888,888,888
5,16,2018,Wednesday,7:00,AM ,Decoding the Past,Prophecies of Israel,1,28,PG,N,"The Tanakh of the Jews is an acronym that identifies the Hebrew Bible, equivalent to the Old Testament to Christians. Within the 24 books of the Tanakh (or Mikra as it was called during the period of its recording) are astounding predictions of the future. Many of the prophets who authored or appeared in the scriptures prophesied about the fate of the Jewish people and the State of Israel. We'll examine the prophecies and chronicle the birth, death, recent resurrection, and possible future of Israel. Supported by archival footage and dramatic recreations, on-camera experts representing the three major religions, and secular perspectives, we explore the most significant of these ancient prophecies. Are the prophecies real? Are they unfolding before our eyes? Who believes, who doesn't, and why?"
5,16,2018,Wednesday,8:00,AM ,Decoding the Past,Mysteries of the Garden of Eden,3,10,PG,N,"The biblical Garden of Eden was taken away from man because of his sins. The Bible says Eden was located east of Israel where four rivers meet--The Tigris and Euphrates and the Pison and Gihon. The later two have long been considered mythical; however recent satellite photography suggests these rivers did exist in Iraq. Another theory places Eden's location beneath the Black Sea. Do texts other than the Bible reinforce the idea of Eden? Both the Babylonian Epic of Gilgamesh and Ancient Greek texts speak of a paradise lost. Sift through the evidence to decode an age-old mystery about how paradise was lost, and where it might be found."
5,16,2018,Wednesday,9:00,AM ,Decoding the Past,The Real Sorcerer's Stone,2,36,PG,N,"Today, the sorcerer's stone is seen as fiction off the pages of Harry Potter, but in the Middle Ages the quest for the sorcerer's stone was second only to that of the Holy Grail. The stone was actually said to have the power to transform base metals into gold and grant long life--even immortality. The ingredients were hidden in bizarrely coded manuscripts by alchemists who lived within their own secret society. The processes needed to combine them could be dangerous--even deadly. Today, we owe most of our modern lab equipment and experimental techniques to the efforts of these alchemists. Was their search for immortality really on sound scientific ground and did some, as is still rumored, actually succeed?"
5,16,2018,Wednesday,10:00,AM ,Decoding the Past,Nazi Prophecies,1,12,PG,N,"Some say that the rise of Nazi Germany was foretold in prophecies that began in biblical times and continued for centuries until the emergence of Adolf Hitler and the Third Reich. These predictions paint a chilling portrait of an evil, sinister force that would terrorize the world. We expose the prophecies throughout history that foresaw Hitler's rise and fall. The program includes biblical prophecies in the Book of Ester and the Book of Daniel, the haunting predictions of Nostradamus, the disturbing and exact predictions of Hitler's personal clairvoyant Eric Jan Hanussen, and more...much more. Plus, we delve into the roots of Nazism, including Germanic and Aryan legends, the occult, mysticism, and astrology."
5,16,2018,Wednesday,11:00,AM ,Decoding the Past,In Search of the Real Frankenstein,2,35,PG,N,"The fascinating story of Johann Konrad Dipple, a brilliant scientist caught up in the dark world of alchemy and body snatching. This is the true tale of the original mad scientist, born in 1673, in the famous gothic Frankenstein Castle that overlooked Germany's Rhine Valley. His pioneering work would lead to electric shock therapy used in modern medicine. It was at Frankenstein Castle that Dipple would carry out his search to brew a secret elixir of life. He began to dig up fresh corpses from the nearby Nieder-Beerbach cemetery and dragged them to his laboratory in Castle Frankenstein to test out his formulas. Ironically, it was his potions that finally killed him."
5,16,2018,Wednesday,12:00,PM,Special,101 Inventions That Changed the World,998,998,PG,N,"It starts with a spark, but some ideas catch fire and in the process change the world. Necessity is the mother of invention--from darkness, man found light (the candle) and from even the farthest distances we can still find each other (the telephone). But some inventions have transformed our lives far beyond our homes (the steam engine), our planet (the telescope), and our wildest dreams (the Internet). This countdown highlights how human ingenuity comes in all shapes and sizes. Some were born from the humblest means (the hammer) while others push the limits of what was ever believed possible (the airplane). But regardless of the ratio of inspiration to perspiration, each invention to make the cut was destined to change our lives forever."
5,16,2018,Wednesday,2:00,PM,Special,101 Gadgets That Changed the World,998,998,PG,N,"The gadget: It's small enough to hold in your hands. It's mechanical or electronic, and mass-produced. It's a personal item that evolves from novelty to necessity--and ultimately shows its paradigm-shifting power. In this two-hour special, the editors of Popular Mechanics and a panel of experts join forces with HISTORY to rank the most influential inventions of the past 200 years and tell the surprising stories behind them."
5,16,2018,Wednesday,4:00,PM,American Pickers,Dani Smells a Rat Rod,10,6,PG,N,"In Kansas, Mike and Frank meet an octogenarian artist whose collection includes a shrine to each of his six ex-wives and every other woman he's ever been with. Picking a fellow picker, the guys visit a sprawling junkyard that's packed with rusty gold. Meanwhile, back in Iowa, Danielle discovers the guys have been keeping an expensive secret from her."
5,16,2018,Wednesday,5:00,PM,American Pickers,Escape to Motor Mountain,12,13,PG,N,"The pickers discover a mountain of motorcycles, but it's protected by booby traps; and one stubborn collector stands in the way of the guys and a mega-warehouse mega-pick."
5,16,2018,Wednesday,6:00,PM,American Pickers,Hidden in Plane Sight,16,9,PG,N,"The guys explore a stash of ultra-rare motorcycle parts found behind a secret wall, and they find the ultimate aviation collectible -- a propeller linked to Charles Lindbergh."
5,16,2018,Wednesday,7:00,PM,American Pickers,My Sweet Ford,17,3,PG,N,Mike and Frank find a classic 33 Ford that's been sitting so long that a tree has grown around it. But nothing stops the guys from rescuing this rare ride.
5,16,2018,Wednesday,8:00,PM,American Pickers,Hot Rod Hero,17,7,PG,N,Mike and Frank discover an amazing fleet of one-of-a-kind concept cars. Some so unique they don't even know how to price them.
5,16,2018,Wednesday,9:00,PM,American Pickers,Man Cave Mania,1,47,PG,N,Mike and Frank search for items worthy of display in a Man Cave.
5,16,2018,Wednesday,10:03,PM,American Pickers,Ready to Roar,19,4,PG,N,Mike and Frank meet Larry who has the ultimate big boy toys including a rare Porsche and a pair of unusual pick-ups that really get the guys going.
5,16,2018,Wednesday,11:03,PM,American Pickers,European Vacation,1,46,PG,N,Mike and Frank jump across the pond to unearth the treasure England and Italy have to offer.
5,16,2018,Wednesday,11:05,PM,777,777,777,777,777,777,777
5,17,2018,Thursday,12:03,AM ,American Pickers,Hot Rod Hero,17,7,PG,N ,Mike and Frank discover an amazing fleet of one-of-a-kind concept cars. Some so unique they don't even know how to price them.
5,17,2018,Thursday,1:03,AM ,American Pickers,Man Cave Mania,1,47,PG,N,Mike and Frank search for items worthy of display in a Man Cave.
